iso3c,year,world_mkt_share,country_exports,sitc_eci,eci_rank
AUS,1994,0.0122784487998472,62687389634.7861,0.150283649563789,94
AUS,1995,0.0118642233803049,71516281725.321,0.112830519676209,98
AUS,1996,0.0126967571767755,81946432904.0914,0.022328132763505,100
AUS,1997,0.0125489019934359,84129206172.7667,-0.0244171917438507,106
AUS,1998,0.0109106229327582,72709811204.6481,0.0454332605004311,102
AUS,1999,0.0107012300188851,74383290846.5231,-0.0591727569699287,113
AUS,2000,0.0108361564842778,85130246611.9866,0.0010377949802205,117
AUS,2001,0.0106744073074406,81292105015.4547,-0.130420029163361,127
AUS,2002,0.010447722133379,84191046767.9719,-0.0601561963558197,127
AUS,2003,0.0101010247037304,93979620293.5096,-0.02636693790555,116
AUS,2004,0.0101800686225783,115171289035.043,-0.197124868631363,132
AUS,2005,0.0106304400553069,136849271234.741,-0.133987128734589,122
AUS,2006,0.0106075310778749,157710286524.709,-0.18390192091465,133
AUS,2007,0.0106486829160915,183529978024.747,-0.100663125514984,122
AUS,2008,0.0116033799278697,230564419012.227,-0.400150984525681,153
AUS,2009,0.0122759631861807,193096538461.4,-0.357755780220032,148
AUS,2010,0.0135228499553259,253358841941.225,-0.482949048280716,153
AUS,2011,0.0140402412931413,313322329493.596,-0.424047380685806,153
AUS,2012,0.0135659277162986,306309162545.718,-0.541112005710602,168
AUS,2013,0.0131383526802901,306939007011.275,-0.62841808795929,170
AUS,2014,0.0126320390159302,297713739569.659,-0.592730402946472,172
AUS,2015,0.0117580603486662,244083103138.651,-0.448194533586502,149
AUS,2016,0.0120702194273315,245563643689.249,-0.553741276264191,160
AUS,2017,0.0131174611602749,292179878746.614,-0.578673124313355,168
AUS,2018,0.0130326490143087,316171393085.401,-0.530980110168457,159
AUT,1994,0.00887239507464839,45297846340.7497,2.02337527275085,6
AUT,1995,0.00869229648818046,52396242430.8937,2.06721305847168,7
AUT,1996,0.00859225426416577,55455466128.0976,2.01170134544373,6
AUT,1997,0.00808757877750047,54220009269.8735,1.89165413379669,8
AUT,1998,0.00843660028626854,56222602302.744,1.89145731925964,9
AUT,1999,0.00821010273555748,57067688348.0754,1.85078167915344,10
AUT,2000,0.00783614053367108,61561733358.6397,1.82752871513367,9
AUT,2001,0.00844110110474515,64284119735.1261,1.86911928653717,10
AUT,2002,0.00883506565099797,71195751181.4781,1.86651945114136,10
AUT,2003,0.00938467734562381,87314746710.1147,1.92208850383759,8
AUT,2004,0.00941173351574683,106478799038.621,1.97136831283569,7
AUT,2005,0.0123140180752935,158522543827.721,1.87457430362701,8
AUT,2006,0.0118904937830304,176785075403.02,1.79204177856445,10
AUT,2007,0.0121601393034186,209579918635.931,1.78686618804932,8
AUT,2008,0.0116464980965986,231421196570.461,1.71038413047791,7
AUT,2009,0.0117198877961835,184349670186.909,1.73911094665527,9
AUT,2010,0.0105210349002104,197118005978.517,1.8150691986084,6
AUT,2011,0.0102452392983892,228632982594.022,1.76637196540833,11
AUT,2012,0.00960005585796515,216762548919.709,1.71521186828613,10
AUT,2013,0.00987380934780824,230672543992.63,1.84888935089111,11
AUT,2014,0.0100749339980393,237447515218.341,1.78418409824371,7
AUT,2015,0.00982804785365206,204018379458.877,1.83360707759857,10
AUT,2016,0.010124012438755,205968863961.703,1.73299133777618,14
AUT,2017,0.0101666014069347,226452080173.804,1.74602425098419,10
AUT,2018,0.0102956811115278,249772692890.053,1.80618035793304,11
BEL,1994,0.0228852180719661,116840050851.72,1.48146784305573,16
BEL,1995,0.0278543460038038,167903047020.294,1.56359541416168,13
BEL,1996,0.0260643369264279,168222437224.998,1.5634104013443,13
BEL,1997,0.0257066082678956,172339902575.029,1.48156595230103,18
BEL,1998,0.0251641491956542,167697165268.919,1.4376962184906,17
BEL,1999,0.0242432849224758,168512900879.735,1.42643547058105,19
BEL,2000,0.0220993537937707,173615381169.408,1.38649415969849,25
BEL,2001,0.0229559667504059,174823651192.746,1.41217684745789,25
BEL,2002,0.0280611303825199,226125456844.708,1.40728902816772,23
BEL,2003,0.0292538211028384,272176643461.103,1.38903200626373,22
BEL,2004,0.0296868919308197,335859976772.001,1.2308109998703,34
BEL,2005,0.027946915047604,359770144756.572,1.26926732063293,33
BEL,2006,0.0272295153192946,404842053387.15,1.23420870304108,39
BEL,2007,0.0274192453761243,472570508577.251,1.13512146472931,36
BEL,2008,0.0268649701772723,533819135390.563,1.17450737953186,31
BEL,2009,0.0271213041361659,426608476078.515,1.22034227848053,32
BEL,2010,0.024531783157945,459617920200.493,1.18005573749542,33
BEL,2011,0.0241801966046106,539605792349.932,1.12371444702148,39
BEL,2012,0.0224855663993003,507708367402.023,1.06166207790375,37
BEL,2013,0.0232652676732257,543524620722.37,1.20395016670227,33
BEL,2014,0.0235838299298225,555827146585.588,1.18421185016632,31
BEL,2015,0.0227337349790268,471924825614.798,1.17281293869019,33
BEL,2016,0.0228259994648916,464385559284.471,1.2217561006546,31
BEL,2017,0.0226507470272057,504525413802.748,1.19455242156982,29
BEL,2018,0.0229772012549356,557425717672.637,1.17679536342621,37
BGR,1994,0.000820204340802777,4187537850.27686,0.390168428421021,67
BGR,1995,0.000888914784099898,5358284153.26563,0.348940253257751,78
BGR,1996,0.000974769067121862,6291279485.28442,0.511260151863098,63
BGR,1997,0.00096280352972734,6454739761.18933,0.522282719612122,63
BGR,1998,0.00094793107238358,6317136036.39362,0.522273361682892,66
BGR,1999,0.000850215978506127,5909775072.58283,0.41953107714653,79
BGR,2000,0.000917173127818007,7205430695.86707,0.439792186021805,80
BGR,2001,0.000980521515258606,7467267801.62817,0.45957824587822,74
BGR,2002,0.00101356466481687,8167624388.22278,0.47140571475029,77
BGR,2003,0.00113819016832802,10589685995.1021,0.410004287958145,78
BGR,2004,0.00124009976831204,14029756983.3457,0.384426802396774,85
BGR,2005,0.00128634564329975,16559565072.1605,0.397590637207031,78
BGR,2006,0.00137339396910654,20419299721.014,0.49124675989151,77
BGR,2007,0.00142506246841517,24560942003.1566,0.46129447221756,87
BGR,2008,0.0014844578106453,29496849606.5123,0.470445603132248,88
BGR,2009,0.00146881885094744,23103998557.4479,0.485758900642395,86
BGR,2010,0.00144946840093803,27156674569.729,0.481055051088333,88
BGR,2011,0.00156422103082218,34907190481.0852,0.63307911157608,74
BGR,2012,0.00151723868546147,34258188665.3655,0.60003936290741,76
BGR,2013,0.00160422985164277,37478116904.2422,0.621686398983002,72
BGR,2014,0.0016444538618266,38756728675.1381,0.616115093231201,73
BGR,2015,0.00161804918867496,33588742980.6874,0.496997028589249,80
BGR,2016,0.00174500884665682,35501486384.3082,0.558789312839508,75
BGR,2017,0.00180655744788905,40239473906.0886,0.591166079044342,75
BGR,2018,0.00179586993869923,43567712112.5054,0.554516077041626,79
BRA,1994,0.00961763941547072,49102677319.6295,0.634625673294067,52
BRA,1995,0.00870070023231097,52446899310.2798,0.838558375835419,42
BRA,1996,0.00815319360927169,52621714643.6701,0.812514305114746,42
BRA,1997,0.00866005792724179,58057971861.6118,0.796189725399017,45
BRA,1998,0.0086254468618482,57481100460.1513,0.822350144386292,45
BRA,1999,0.00762892499166561,53027973933.831,0.626056969165802,59
BRA,2000,0.0081132843206702,63739010787.9982,0.794293224811554,53
